key_0,business_code,customer_number,customer_name,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_date,invoice_currency,document type,posting_id,area_business,invoice_amount,baseline_create_date,cust_payment_terms,invoice_number,isOpen,delay_date,predicted_payment_date
39235,CA02,0140104423,METRO  systems,2020.0,2960634203.0,2020-05-10,20200511,20200510,2020-05-22,CAD,RV,1.0,,291495.15,20200512.0,CA10,2960634203.0,1,8,2020-05-30
47288,CA02,0140104409,LOB us,2020.0,2960621511.0,2020-03-15,20200316,20200315,2020-03-26,CAD,RV,1.0,,137613.34,20200316.0,CA10,2960621511.0,1,1,2020-03-27
47274,U001,0200729942,SA associates,2020.0,1930613670.0,2020-03-06,20200306,20200306,2020-03-21,USD,RV,1.0,,16946.73,20200306.0,NAA8,1930613670.0,1,1,2020-03-22
19456,U001,0200769623,WAL-MAR in,2020.0,1930828737.0,2020-04-27,20200426,20200427,2020-05-12,USD,RV,1.0,,26986.34,20200427.0,NAH4,1930828737.0,1,1,2020-05-13
39489,U001,0200780383,MEIJ in,2020.0,1930831723.0,2020-04-27,20200428,20200427,2020-05-12,USD,RV,1.0,,24195.17,20200427.0,NAA8,1930831723.0,1,1,2020-05-13
19276,CA02,140105686,SYSC in,2020.0,2960632862.0,2020-05-07,20200507,20200507,2020-05-18,CAD,RV,1.0,,71998.75,20200508.0,CA10,2960632862.0,1,-1,2020-05-17
7777,U001,0200759878,SA systems,2020.0,1930599580.0,2020-03-04,20200304,20200304,2020-03-19,USD,RV,1.0,,21140.35,20200304.0,NAH4,1930599580.0,1,1,2020-03-20
39224,U001,200769623,WAL-MAR corporation,2020.0,1930883468.0,2020-05-10,20200509,20200510,2020-05-25,USD,RV,1.0,,17557.65,20200510.0,NAH4,1930883468.0,1,1,2020-05-26
7554,U001,0200759878,SA llc,2020.0,1930801174.0,2020-04-20,20200419,20200420,2020-05-05,USD,RV,1.0,,22996.13,20200420.0,NAH4,1930801174.0,1,1,2020-05-06
20613,U001,0200769623,WAL-MAR co,2020.0,1930780601.0,2020-04-13,20200413,20200413,2020-04-28,USD,RV,1.0,,53752.75,20200413.0,NAH4,1930780601.0,1,8,2020-05-06
47822,U001,200822900,TIM H systems,2020.0,1930794506.0,2020-04-20,20200416,20200420,2020-05-05,USD,RV,1.0,,1433.4,20200420.0,NAA8,1930794506.0,1,1,2020-05-06
23076,U001,0200769623,WAL-MAR corp,2020.0,1930610843.0,2020-03-07,20200306,20200307,2020-03-22,USD,RV,1.0,,61694.32,20200307.0,NAH4,1930610843.0,1,-1,2020-03-21
11370,U001,200780383,MEIJ co,2020.0,1930855094.0,2020-05-04,20200504,20200504,2020-05-19,USD,RV,1.0,,162981.3,20200504.0,NAA8,1930855094.0,1,8,2020-05-27
35522,U001,0200704858,WAKE ,2020.0,1930726662.0,2020-04-01,20200331,20200401,2020-04-16,USD,RV,1.0,,9793.33,20200401.0,NAA8,1930726662.0,1,1,2020-04-17
11556,U001,0200418007,AM systems,2020.0,1930671480.0,2020-03-24,20200319,20200324,2020-05-28,USD,RV,1.0,,1824.48,20200324.0,NAGD,1930671480.0,1,1,2020-05-29
35800,U001,200769623,WAL-MAR in,2020.0,1930880331.0,2020-05-10,20200508,20200510,2020-05-25,USD,RV,1.0,,8252.89,20200510.0,NAH4,1930880331.0,1,4,2020-05-29
35889,U001,0200769623,WAL-MAR corp,2020.0,1930622009.0,2020-03-08,20200307,20200308,2020-03-23,USD,RV,1.0,,3227.43,20200308.0,NAH4,1930622009.0,1,1,2020-03-24
35984,CA02,140104472,MARTIN corp,2020.0,2960617367.0,2020-03-05,20200305,20200305,2020-03-23,CAD,RV,1.0,,12126.96,20200313.0,CA10,2960617367.0,1,1,2020-03-24
21902,U001,0200416837,DEC us,2020.0,1930599446.0,2020-03-04,20200304,20200304,2020-03-24,USD,RV,1.0,,8160.18,20200301.0,NAM4,1930599446.0,1,-1,2020-03-23
11716,U001,0200769623,WAL-MAR foundation,2020.0,1930635608.0,2020-03-11,20200310,20200311,2020-03-26,USD,RV,1.0,,184.71,20200311.0,NAH4,1930635608.0,1,-1,2020-03-25
21495,U001,0200769623,WAL-MAR foundation,2020.0,1930653296.0,2020-03-17,20200316,20200317,2020-04-01,USD,RV,1.0,,17603.14,20200317.0,NAH4,1930653296.0,1,1,2020-04-02
45964,U001,0200769623,WAL-MAR foundation,2020.0,1930599425.0,2020-03-04,20200304,20200304,2020-03-19,USD,RV,1.0,,28675.59,20200304.0,NAH4,1930599425.0,1,-1,2020-03-18
21403,CA02,0140104249,SOB llc,2020.0,2960616973.0,2020-03-01,20200301,20200301,2020-03-19,CAD,RV,1.0,,119682.92,20200309.0,CA10,2960616973.0,1,-1,2020-03-18
21124,U001,0200416837,DEC corporation,2020.0,1930857289.0,2020-05-05,20200505,20200505,2020-05-24,USD,RV,1.0,,299.04,20200501.0,NAM4,1930857289.0,1,-51,2020-04-03
3108,CA02,140104409,LOB llc,2020.0,2960623952.0,2020-03-26,20200326,20200326,2020-04-12,CAD,RV,1.0,,98478.09,20200402.0,CA10,2960623952.0,1,-1,2020-04-11
20849,U001,0200795490,HY -  trust,2020.0,1930731742.0,2020-04-01,20200402,20200401,2020-04-16,USD,RV,1.0,,47933.39,20200401.0,NAA8,1930731742.0,1,1,2020-04-17
3020,U001,0200769623,WAL-MAR systems,2020.0,1930773818.0,2020-04-16,20200410,20200416,2020-05-01,USD,RV,1.0,,6965.74,20200416.0,NAH4,1930773818.0,1,-1,2020-04-30
11969,U001,0200769623,WAL-MAR foundation,2020.0,1930831632.0,2020-04-28,20200428,20200428,2020-05-13,USD,RV,1.0,,471.56,20200428.0,NAH4,1930831632.0,1,1,2020-05-14
39611,U001,200790107,ROU corporation,2020.0,1930717367.0,2020-03-31,20200329,20200331,2020-04-15,USD,RV,1.0,,12320.55,20200331.0,NAC6,1930717367.0,1,-1,2020-04-14
23250,U001,0200707822,PUBLI corp,2020.0,1930776611.0,2020-04-11,20200410,20200411,2020-04-26,USD,RV,1.0,,89515.09,20200411.0,NAA8,1930776611.0,1,1,2020-04-27
39623,U001,0200148860,DOLLA corporation,2020.0,1930627235.0,2020-03-10,20200309,20200310,2020-03-25,USD,RV,1.0,,45677.4,20200310.0,NAA8,1930627235.0,1,1,2020-03-26
7832,U001,0200915438,GROC corporation,2020.0,1930905053.0,2020-05-15,20200515,20200515,2020-05-30,USD,RV,1.0,,24212.0,20200515.0,NAA8,1930905053.0,1,1,2020-05-31
8995,U001,0200769623,WAL-MAR us,2020.0,1930787694.0,2020-04-15,20200415,20200415,2020-04-30,USD,RV,1.0,,5476.58,20200415.0,NAH4,1930787694.0,1,1,2020-05-01
46301,U001,0200920735,ALBERT corp,2020.0,1930641398.0,2020-03-12,20200311,20200312,2020-03-27,USD,RV,1.0,,73891.65,20200312.0,NAA8,1930641398.0,1,1,2020-03-28
44290,U001,0100031704,DELHAIZE associates,2020.0,1930853191.0,2020-05-04,20200503,20200504,2020-05-19,USD,RV,1.0,,105136.26,20200504.0,NAA8,1930853191.0,1,8,2020-05-27
1360,U001,0200936373,SUPE corporation,2020.0,1930673963.0,2020-03-20,20200320,20200320,2020-04-04,USD,RV,1.0,,2080.58,20200320.0,NAA8,1930673963.0,1,-1,2020-04-03
46254,U001,0200726979,BJ'S  associates,2020.0,1930781883.0,2020-04-14,20200413,20200414,2020-04-29,USD,RV,1.0,,253.84,20200414.0,NAA8,1930781883.0,1,8,2020-05-07
44873,U001,0200759878,SA associates,2020.0,1930710814.0,2020-03-31,20200328,20200331,2020-04-15,USD,RV,1.0,,23036.74,20200331.0,NAH4,1930710814.0,1,-1,2020-04-14
13517,U001,0200739534,OK corp,2020.0,1930582901.0,2020-02-28,20200228,20200228,2020-03-14,USD,RV,1.0,,22934.95,20200228.0,NAA8,1930582901.0,1,8,2020-03-22
1479,U001,0200769623,WAL-MAR llc,2020.0,1930852439.0,2020-05-03,20200502,20200503,2020-05-18,USD,RV,1.0,,24640.04,20200503.0,NAH4,1930852439.0,1,-1,2020-05-17
14385,U001,0200769623,WAL-MAR corporation,2020.0,1930658268.0,2020-03-17,20200317,20200317,2020-04-01,USD,RV,1.0,,661.11,20200317.0,NAH4,1930658268.0,1,1,2020-04-02
14193,U001,0200020431,DEC co,2020.0,1930764978.0,2020-04-09,20200409,20200409,2020-04-24,USD,RV,1.0,,5778.92,20200401.0,NAM4,1930764978.0,1,1,2020-04-25
1127,U001,0200772670,ASSOCIAT systems,2020.0,1930817046.0,2020-04-22,20200423,20200422,2020-05-07,USD,RV,1.0,,9164.21,20200422.0,NAU5,1930817046.0,1,1,2020-05-08
45486,U001,200434439,BAUGH SU co,2020.0,1930636905.0,2020-03-10,20200310,20200310,2020-03-25,USD,RV,1.0,,77965.68,20200310.0,NAA8,1930636905.0,1,8,2020-04-02
13941,U001,0200769623,WAL-MAR ,2020.0,1930819886.0,2020-04-25,20200424,20200425,2020-05-10,USD,RV,1.0,,30062.46,20200425.0,NAH4,1930819886.0,1,8,2020-05-18
13875,U001,0200705742,DOT trust,2020.0,1930862967.0,2020-05-06,20200506,20200506,2020-06-07,USD,RV,1.0,,970.72,20200506.0,NA32,1930862967.0,1,8,2020-06-15
45696,U001,0200772670,ASSOCIAT co,2020.0,1930726869.0,2020-03-31,20200401,20200331,2020-04-15,USD,RV,1.0,,1667.78,20200331.0,NAU5,1930726869.0,1,1,2020-04-16
13840,U001,0200761734,H E BUT associates,2020.0,1930586369.0,2020-03-03,20200303,20200303,2020-05-07,USD,RV,1.0,,1703.53,20200303.0,NAGD,1930586369.0,1,1,2020-05-08
14231,U001,0200778355,US  systems,2020.0,1930606700.0,2020-03-05,20200305,20200305,2020-03-20,USD,RV,1.0,,3898.27,20200305.0,NAA8,1930606700.0,1,1,2020-03-21
15601,U001,0200769623,WAL-MAR llc,2020.0,1930767214.0,2020-04-09,20200408,20200409,2020-04-24,USD,RV,1.0,,1983.36,20200409.0,NAH4,1930767214.0,1,1,2020-04-25
44040,U001,0200769623,WAL-MAR us,2020.0,1930854386.0,2020-05-04,20200503,20200504,2020-05-19,USD,RV,1.0,,13204.89,20200504.0,NAH4,1930854386.0,1,-1,2020-05-18
46492,U001,0200759878,SA corporation,2020.0,1930825378.0,2020-04-27,20200424,20200427,2020-05-12,USD,RV,1.0,,36629.91,20200427.0,NAH4,1930825378.0,1,8,2020-05-20
18943,CA02,0140104440,SO llc,2020.0,2960624240.0,2020-03-25,20200325,20200325,2020-04-04,CAD,RV,1.0,,89107.3,20200325.0,CA10,2960624240.0,1,1,2020-04-05
18819,U001,0200778870,C co,2020.0,1930765045.0,2020-04-09,20200408,20200409,2020-04-24,USD,RV,1.0,,442.66,20200409.0,NAA8,1930765045.0,1,-2,2020-04-22
7906,U001,0200726979,BJ'S  us,2020.0,1930829710.0,2020-04-26,20200427,20200426,2020-05-11,USD,RV,1.0,,27.6,20200426.0,NAA8,1930829710.0,1,8,2020-05-19
18406,U001,0200762301,C&S WH ,2020.0,1930708540.0,2020-03-26,20200326,20200326,2020-04-10,USD,RV,1.0,,103504.22,20200326.0,NAC6,1930708540.0,1,8,2020-04-18
18283,U001,0200769623,WAL-MAR trust,2020.0,1930777449.0,2020-04-12,20200411,20200412,2020-04-27,USD,RV,1.0,,31127.73,20200412.0,NAH4,1930777449.0,1,-51,2020-03-07
18232,U001,0200772670,ASSOCIAT corporation,2020.0,1930638297.0,2020-03-11,20200311,20200311,2020-03-26,USD,RV,1.0,,5446.81,20200311.0,NAU5,1930638297.0,1,1,2020-03-27
41649,U001,0200776463,KROGE llc,2020.0,1930877833.0,2020-05-07,20200507,20200507,2020-05-22,USD,RV,1.0,,17721.28,20200507.0,NAA8,1930877833.0,1,-1,2020-05-21
12914,CA02,0140104423,METRO  co,2020.0,2960622694.0,2020-03-21,20200321,20200321,2020-04-03,CAD,RV,1.0,,43999.83,20200324.0,CA10,2960622694.0,1,1,2020-04-04
41791,U001,0200762301,C&S WH co,2020.0,1930803119.0,2020-04-20,20200420,20200420,2020-05-05,USD,RV,1.0,,144162.13,20200420.0,NAC6,1930803119.0,1,8,2020-05-13
17542,U001,0200769623,WAL-MAR ,2020.0,1930801744.0,2020-04-20,20200419,20200420,2020-05-05,USD,RV,1.0,,5160.61,20200420.0,NAH4,1930801744.0,1,8,2020-05-13
42806,U001,0200782772,ASSOC G trust,2020.0,1930805015.0,2020-04-21,20200420,20200421,2020-05-06,USD,RV,1.0,,19211.8,20200421.0,NAA8,1930805015.0,1,1,2020-05-07
46674,U001,0200726979,BJ'S  systems,2020.0,1930682258.0,2020-03-21,20200321,20200321,2020-04-05,USD,RV,1.0,,1288.7,20200321.0,NAA8,1930682258.0,1,-51,2020-02-14
8256,U001,0200769623,WAL-MAR co,2020.0,1930715442.0,2020-03-29,20200328,20200329,2020-04-13,USD,RV,1.0,,9636.21,20200329.0,NAH4,1930715442.0,1,1,2020-04-14
1742,U001,0200769369,DI trust,2020.0,1930723618.0,2020-03-31,20200331,20200331,2020-04-15,USD,RV,1.0,,37999.5,20200331.0,NAA8,1930723618.0,1,8,2020-04-23
16470,U001,0200230690,DECA systems,2020.0,1930745283.0,2020-04-04,20200404,20200404,2020-04-24,USD,RV,1.0,,9999.02,20200401.0,NAM4,1930745283.0,1,1,2020-04-25
43715,CA02,0140104409,LOB trust,2020.0,2960632465.0,2020-05-04,20200504,20200504,2020-05-15,CAD,RV,1.0,,137467.2,20200505.0,CA10,2960632465.0,1,8,2020-05-23
16230,U001,0200744019,TARG ,2020.0,1930717416.0,2020-03-30,20200328,20200330,2020-04-14,USD,RV,1.0,,7947.47,20200330.0,NAA8,1930717416.0,1,8,2020-04-22
39781,U001,0200799342,MITCH llc,2020.0,1930732245.0,2020-04-02,20200402,20200402,2020-04-17,USD,RV,1.0,,32058.73,20200402.0,NAA8,1930732245.0,1,1,2020-04-18
33880,U001,0200712187,SPAR corp,2020.0,1930767750.0,2020-04-08,20200409,20200408,2020-04-23,USD,RV,1.0,,188062.79,20200408.0,NAA8,1930767750.0,1,1,2020-04-24
484,U001,0200701314,MBM  systems,2020.0,1930723344.0,2020-04-01,20200331,20200401,2020-04-16,USD,RV,1.0,,21691.22,20200401.0,NAA8,1930723344.0,1,1,2020-04-17
33504,U001,0200129450,NU systems,2020.0,1930692873.0,2020-03-25,20200324,20200325,2020-04-24,USD,RV,1.0,,66115.57,20200325.0,NAD5,1930692873.0,1,8,2020-05-02
32493,U001,0200799538,UNITE llc,2020.0,1930789221.0,2020-04-15,20200415,20200415,2020-06-19,USD,RV,1.0,,12501.09,20200415.0,NAGD,1930789221.0,1,1,2020-06-20
29495,U001,0200759082,INGL associates,2020.0,1930780580.0,2020-04-13,20200413,20200413,2020-04-28,USD,RV,1.0,,114228.97,20200413.0,NAA8,1930780580.0,1,1,2020-04-29
24966,U001,0200646464,CUSTOMI ,2020.0,1930821728.0,2020-04-29,20200423,20200429,2020-05-14,USD,RV,1.0,,5191.22,20200429.0,NAA8,1930821728.0,1,1,2020-05-15
25045,U001,0200744019,TARG corporation,2020.0,1930819199.0,2020-04-23,20200423,20200423,2020-05-08,USD,RV,1.0,,17405.3,20200423.0,NAA8,1930819199.0,1,1,2020-05-09
4359,U001,0200769623,WAL-MAR corporation,2020.0,1930653206.0,2020-03-15,20200314,20200315,2020-03-30,USD,RV,1.0,,34070.92,20200315.0,NAH4,1930653206.0,1,8,2020-04-07
25113,U001,0200783734,FAREW foundation,2020.0,1930767852.0,2020-04-08,20200409,20200408,2020-04-23,USD,RV,1.0,,75214.97,20200408.0,NAA8,1930767852.0,1,1,2020-04-24
32323,U001,0200705372,FR corp,2020.0,1930594087.0,2020-03-05,20200303,20200305,2020-05-09,USD,RV,1.0,,7125.3,20200305.0,NAGD,1930594087.0,1,-1,2020-05-08
29600,U001,0200769623,WAL-MAR co,2020.0,1930583261.0,2020-03-02,20200229,20200302,2020-03-17,USD,RV,1.0,,3254.75,20200302.0,NAH4,1930583261.0,1,1,2020-03-18
6239,U001,0200794332,COST systems,2020.0,1930699479.0,2020-03-26,20200325,20200326,2020-04-10,USD,RV,1.0,,2968.44,20200326.0,NAAX,1930699479.0,1,1,2020-04-11
10269,U001,200793568,SUPE ,2020.0,1930828208.0,2020-05-01,20200426,20200501,2020-05-16,USD,RV,1.0,,28394.48,20200501.0,NAA8,1930828208.0,1,1,2020-05-17
32068,U001,0200769623,WAL-MAR ,2020.0,1930581117.0,2020-03-01,20200229,20200301,2020-03-16,USD,RV,1.0,,57778.2,20200301.0,NAH4,1930581117.0,1,1,2020-03-17
29601,U001,0200769623,WAL-MAR trust,2020.0,1930729401.0,2020-04-02,20200401,20200402,2020-04-17,USD,RV,1.0,,28882.84,20200402.0,NAH4,1930729401.0,1,8,2020-04-25
25754,U001,0200762301,C&S WH us,2020.0,1930850983.0,2020-05-03,20200502,20200503,2020-05-18,USD,RV,1.0,,133692.01,20200503.0,NAC6,1930850983.0,1,8,2020-05-26
49676,U001,0200744019,TARG ,2020.0,1930614585.0,2020-03-08,20200307,20200308,2020-03-23,USD,RV,1.0,,8030.27,20200308.0,NAA8,1930614585.0,1,4,2020-03-27
49665,U001,0200769623,WAL-MAR ,2020.0,1930686932.0,2020-03-23,20200323,20200323,2020-04-07,USD,RV,1.0,,58656.56,20200323.0,NAH4,1930686932.0,1,8,2020-04-15
31345,U001,0200592182,DECA corp,2020.0,1930893512.0,2020-05-12,20200512,20200512,2020-05-24,USD,RV,1.0,,545.58,20200501.0,NAM4,1930893512.0,1,1,2020-05-25
30971,U001,0200744019,TARG associates,2020.0,1930716660.0,2020-03-30,20200328,20200330,2020-04-14,USD,RV,1.0,,25528.93,20200330.0,NAA8,1930716660.0,1,1,2020-04-15
30910,U001,0200895843,US  ,2020.0,1930668315.0,2020-03-18,20200318,20200318,2020-04-07,USD,RV,1.0,,18885.97,20200318.0,NAD1,1930668315.0,1,-1,2020-04-06
4794,U001,0200762301,C&S WH ,2020.0,1930798033.0,2020-04-17,20200417,20200417,2020-05-02,USD,RV,1.0,,16724.42,20200417.0,NAC6,1930798033.0,1,1,2020-05-03
30739,U001,0200759878,SA systems,2020.0,1930856385.0,2020-05-06,20200504,20200506,2020-05-21,USD,RV,1.0,,36629.91,20200506.0,NAH4,1930856385.0,1,1,2020-05-22
6085,U001,0200744019,TARG systems,2020.0,1930796641.0,2020-04-17,20200416,20200417,2020-05-02,USD,RV,1.0,,20160.0,20200417.0,NAA8,1930796641.0,1,1,2020-05-03
33753,U001,0200759878,SA us,2020.0,1930809702.0,2020-04-22,20200421,20200422,2020-05-07,USD,RV,1.0,,8835.35,20200422.0,NAH4,1930809702.0,1,8,2020-05-15
29894,U001,0200759878,SA associates,2020.0,1930597253.0,2020-03-04,20200303,20200304,2020-03-19,USD,RV,1.0,,46171.98,20200304.0,NAH4,1930597253.0,1,1,2020-03-20
30384,U001,200756072,REINHA in,2020.0,1930801357.0,2020-04-20,20200419,20200420,2020-05-05,USD,RV,1.0,,32442.63,20200420.0,NAA8,1930801357.0,1,1,2020-05-06
26302,U001,0200255310,VALUE corp,2020.0,1930803801.0,2020-04-20,20200420,20200420,2020-05-05,USD,RV,1.0,,9079.45,20200420.0,NAU5,1930803801.0,1,1,2020-05-06
10466,U001,0200706844,WINC us,2020.0,1930785020.0,2020-04-15,20200414,20200415,2020-04-30,USD,RV,1.0,,9479.19,20200415.0,NAA8,1930785020.0,1,1,2020-05-01
49500,CA02,0140104409,LOB in,2020.0,2960617097.0,2020-03-01,20200301,20200301,2020-03-12,CAD,RV,1.0,,266350.95,20200302.0,CA10,2960617097.0,1,1,2020-03-13
27278,U001,0200744019,TARG in,2020.0,1930774753.0,2020-04-11,20200410,20200411,2020-04-26,USD,RV,1.0,,12572.65,20200411.0,NAA8,1930774753.0,1,1,2020-04-27
27303,U001,0200769623,WAL-MAR corp,2020.0,1930832765.0,2020-04-30,20200428,20200430,2020-05-15,USD,RV,1.0,,62665.96,20200430.0,NAH4,1930832765.0,1,1,2020-05-16
10821,U001,0200416837,DEC systems,2020.0,1930858038.0,2020-05-05,20200505,20200505,2020-05-24,USD,RV,1.0,,8887.1,20200501.0,NAM4,1930858038.0,1,1,2020-05-25
32787,U001,0200078795,H T H ,2020.0,1930577065.0,2020-02-27,20200227,20200227,2020-03-13,USD,RV,1.0,,18767.16,20200227.0,NAA8,1930577065.0,1,8,2020-03-21
33219,U001,0200416837,DEC systems,2020.0,1930811496.0,2020-04-22,20200422,20200422,2020-04-26,USD,RV,1.0,,15244.28,20200416.0,NAM2,1930811496.0,1,1,2020-04-27
27328,U001,200769623,WAL-MAR us,2020.0,1930676217.0,2020-03-21,20200320,20200321,2020-04-05,USD,RV,1.0,,11460.5,20200321.0,NAH4,1930676217.0,1,-2,2020-04-03
33482,U001,0200769623,WAL-MAR in,2020.0,1930600799.0,2020-03-04,20200304,20200304,2020-03-19,USD,RV,1.0,,45256.96,20200304.0,NAH4,1930600799.0,1,1,2020-03-20
22,U001,0200974851,RESTA co,2020.0,1930632576.0,2020-03-10,20200310,20200310,2020-03-25,USD,RV,1.0,,1798.92,20200310.0,NAA8,1930632576.0,1,8,2020-04-02
49946,U001,200706844,WINC foundation,2020.0,1930833322.0,2020-04-30,20200428,20200430,2020-05-15,USD,RV,1.0,,1663.33,20200430.0,NAA8,1930833322.0,1,1,2020-05-16
27750,U001,200726979,BJ'S  trust,2020.0,1930704398.0,2020-03-26,20200326,20200326,2020-04-10,USD,RV,1.0,,760.04,20200326.0,NAA8,1930704398.0,1,8,2020-04-18
27701,U001,0200762301,C&S WH corporation,2020.0,1930784008.0,2020-04-16,20200414,20200416,2020-05-01,USD,RV,1.0,,14679.78,20200416.0,NAC6,1930784008.0,1,-1,2020-04-30
11075,U001,0200794332,COST foundation,2020.0,1930758987.0,2020-04-07,20200407,20200407,2020-04-22,USD,RV,1.0,,13765.6,20200407.0,NAAX,1930758987.0,1,-1,2020-04-21
33120,U001,0200762950,HAR ,2020.0,1930686232.0,2020-03-24,20200322,20200324,2020-04-08,USD,RV,1.0,,64237.4,20200324.0,NAA8,1930686232.0,1,1,2020-04-09
32832,U001,0200707822,PUBLI systems,2020.0,1930719910.0,2020-04-01,20200330,20200401,2020-04-16,USD,RV,1.0,,104882.14,20200401.0,NAA8,1930719910.0,1,8,2020-04-24
29285,U001,0100031704,DELHAIZE trust,2020.0,1930781115.0,2020-04-15,20200413,20200415,2020-04-30,USD,RV,1.0,,17187.41,20200415.0,NAA8,1930781115.0,1,1,2020-05-01
28479,U001,0200418007,AM co,2020.0,1930660374.0,2020-03-20,20200317,20200320,2020-05-24,USD,RV,1.0,,504.0,20200320.0,NAGD,1930660374.0,1,1,2020-05-25
30017,U001,0200769623,WAL-MAR corp,2020.0,1930763470.0,2020-04-09,20200408,20200409,2020-04-24,USD,RV,1.0,,725.85,20200409.0,NAH4,1930763470.0,1,1,2020-04-25
30210,U001,0200755701,ASSOCI systems,2020.0,1930741163.0,2020-04-04,20200403,20200404,2020-04-19,USD,RV,1.0,,146413.1,20200404.0,NAA8,1930741163.0,1,1,2020-04-20
17015,U001,0200705372,FR us,2020.0,1930675610.0,2020-03-21,20200320,20200321,2020-04-05,USD,RV,1.0,,117035.29,20200321.0,NAA8,1930675610.0,1,8,2020-04-13
17093,U001,0200732755,KROGER foundation,2020.0,1930688986.0,2020-03-25,20200323,20200325,2020-04-09,USD,RV,1.0,,31005.66,20200325.0,NAA8,1930688986.0,1,8,2020-04-17
42264,U001,0200769623,WAL-MAR ,2020.0,1930745671.0,2020-04-04,20200404,20200404,2020-04-19,USD,RV,1.0,,36578.43,20200404.0,NAH4,1930745671.0,1,1,2020-04-20
14175,U001,0200744019,TARG in,2020.0,1930659386.0,2020-03-19,20200318,20200319,2020-05-23,USD,RV,1.0,,6101.93,20200319.0,NAGD,1930659386.0,1,1,2020-05-24
28108,U001,0200466603,SMITH'S ,2020.0,1930584132.0,2020-03-02,20200229,20200302,2020-03-17,USD,RV,1.0,,15900.82,20200302.0,NAA8,1930584132.0,1,-2,2020-03-15
30149,U001,0200769623,WAL-MAR in,2020.0,1930825866.0,2020-04-24,20200425,20200424,2020-05-09,USD,RV,1.0,,2217.08,20200424.0,NAH4,1930825866.0,1,8,2020-05-17
5080,U001,0200726979,BJ'S  corporation,2020.0,1930764205.0,2020-04-08,20200408,20200408,2020-04-23,USD,RV,1.0,,482.95,20200408.0,NAA8,1930764205.0,1,1,2020-04-24
28390,U001,0200721222,GO llc,2020.0,1930880971.0,2020-05-09,20200509,20200509,2020-05-24,USD,RV,1.0,,112890.23,20200509.0,NAA8,1930880971.0,1,8,2020-06-01
2136,U001,0200769623,WAL-MAR llc,2020.0,1930611986.0,2020-03-06,20200306,20200306,2020-03-21,USD,RV,1.0,,30082.16,20200306.0,NAH4,1930611986.0,1,1,2020-03-22
27802,U001,0200762301,C&S WH trust,2020.0,1930652162.0,2020-03-15,20200314,20200315,2020-03-30,USD,RV,1.0,,39313.98,20200315.0,NAC6,1930652162.0,1,1,2020-03-31
45639,U001,0200726979,BJ'S  in,2020.0,1930782545.0,2020-04-16,20200413,20200416,2020-05-01,USD,RV,1.0,,43563.22,20200416.0,NAA8,1930782545.0,1,-1,2020-04-30
17719,U001,200769623,WAL-MAR corp,2020.0,1930885111.0,2020-05-12,20200510,20200512,2020-05-27,USD,RV,1.0,,76753.06,20200512.0,NAH4,1930885111.0,1,1,2020-05-28
28554,U001,0200769623,WAL-MAR llc,2020.0,1930637977.0,2020-03-13,20200311,20200313,2020-03-28,USD,RV,1.0,,14910.63,20200313.0,NAH4,1930637977.0,1,1,2020-03-29
